,heel1,ball11,ball12,time,heel2,ball21,ball22
0,3662,3879,4095,1265689,936,4067,4095
1,3912,3860,4095,1265789,937,4087,4095
2,3916,3864,4095,1265888,928,4095,4095
3,3909,3820,4095,1265988,987,3966,4095
4,3895,3852,4095,1266088,952,3903,4095
5,3916,3855,4095,1266288,975,3920,4095
6,3885,3824,4095,1266388,975,3920,4095
7,3626,3599,4095,1266488,955,4095,4095
8,3880,3877,4095,1266588,955,4095,4095
9,3888,3863,4095,1266688,957,4093,4095
10,3901,3861,4095,1266788,1016,3900,4095
11,3872,3823,4094,1266989,949,3951,4095
12,3903,3863,4095,1267089,928,4095,4095
13,3902,3863,4095,1267189,967,4095,4095
14,3911,3845,4095,1267289,1001,3912,4095
15,3899,3821,4095,1267389,1013,3923,4095
16,3897,3813,4095,1267488,939,3957,4095
17,3620,3533,4095,1267690,923,4029,4095
18,3899,3845,4095,1267789,1013,4048,4095
19,3871,3863,4095,1267889,976,3867,4095
20,3887,3845,4095,1267989,958,4060,4095
21,3869,3859,4095,1268089,915,4047,4095
22,3896,3773,4095,1268289,999,3916,4095
23,3887,3767,4095,1268390,903,3923,4095
24,3891,3751,4095,1268489,1001,3923,4095
25,3863,3796,4095,1268589,921,4091,4095
26,3893,3789,4095,1268689,999,3940,4095
27,3893,3760,4095,1268789,951,3944,4095
28,3882,3811,4095,1268990,904,4025,4095
29,3877,3811,4095,1269090,904,4025,4095
30,3861,3768,4095,1269190,913,4080,4095
31,3606,3555,4095,1269291,913,4080,4095
32,3888,3827,4095,1269390,1004,3881,4095
33,3893,3818,4095,1269592,901,4003,4095
34,3859,3826,4095,1269692,915,3868,4095
35,3859,3820,4095,1269792,902,4095,4095
36,3879,3807,4095,1269891,951,3946,4095
37,3880,3800,4095,1270492,896,3895,4095
38,3867,3801,4095,1270591,896,3895,4095
39,3868,3775,4095,1270692,904,3847,4095
40,3868,3800,4095,1270792,904,3847,4095
41,3879,3849,4095,1270893,941,3896,4095
42,3864,3541,4095,1270993,935,3872,4095
43,3885,3824,4095,1271094,983,3936,4095
44,3855,3835,4095,1271293,973,3944,4095
45,3871,3863,4095,1271393,1013,3875,4095
46,3867,3894,4095,1271493,1017,3840,4095
47,3854,3881,4095,1271593,932,4065,4095
48,3863,3915,4095,1271694,933,4079,4095
49,3880,3935,4095,1271794,1016,3839,4095
50,3859,3947,4095,1271993,987,3832,4095
51,3884,4001,4095,1272093,987,3832,4095
52,3879,4023,4095,1272193,1060,3817,4095
53,3885,4003,4095,1272294,1060,3817,4095
54,3887,3993,4095,1272394,1053,3811,4095
55,3897,3939,4095,1272594,1053,3811,4095
56,3859,3947,4095,1272693,947,3751,4095
57,3882,3893,4095,1272793,1041,3795,4095
58,3860,3893,4095,1272893,928,3928,4095
59,3859,3831,4095,1272993,1019,3835,4095
60,3855,3768,4095,1273093,933,4025,4095
61,3857,3735,4095,1273293,1020,3807,4095
62,3853,3719,4095,1273393,1078,3985,4095
63,3838,3723,4095,1273493,1093,3827,4095
64,3837,3709,4095,1273593,1093,3827,4095
65,3829,3707,4095,1273693,1176,3792,4095
66,3847,3707,4095,1273793,1176,3792,4095
67,3847,3695,4095,1273993,1187,3980,4095
68,3839,3676,4095,1274094,1273,3968,4095
69,3819,3703,4095,1274194,1276,3770,4095
70,3820,3693,4095,1274293,1196,3772,4095
71,3821,3386,4093,1274494,1191,3776,4095
72,3817,3656,4095,1274595,1185,3756,4095
73,3836,3687,4095,1274695,1177,3851,4095
74,3807,3643,4095,1274794,1240,3739,4095
75,3833,3672,4095,1274895,1117,3743,4095
76,3827,3657,4095,1274994,1201,3805,4095
77,3829,3663,4095,1275195,1173,4015,4095
78,3545,3403,4095,1275294,1085,3776,4095
79,3803,3669,4095,1275395,1077,3768,4095
80,3803,3667,4095,1275494,1125,3800,4095
81,3805,3671,4095,1275595,1080,3843,4095
82,3829,3659,4095,1275694,1175,3805,4095
83,3835,3663,4095,1275795,1056,3817,4095
84,3805,3655,4095,1275995,1051,3948,4095
85,3810,3373,4095,1276096,1145,3808,4095
86,3831,3624,4095,1276196,1075,4040,4095
87,3829,3657,4095,1276297,1029,3941,4095
88,3827,3645,4095,1276397,1003,3873,4095
89,3801,3645,4095,1276596,1003,3873,4095
90,3819,3657,4095,1276696,947,3945,4095
91,3804,3645,4095,1276797,947,3945,4095
92,3815,3616,4095,1276896,955,3960,4095
93,3817,3653,4095,1277096,955,3960,4095
94,3530,3370,4093,1277196,943,4095,4095
95,3796,3642,4095,1277296,959,4063,4095
96,3797,3645,4095,1277396,864,4095,4095
97,3514,3353,4066,1277497,877,4095,4095
98,3821,3387,4095,1277598,869,4060,4095
99,3815,3627,4095,1277799,888,4095,4095
100,3816,3629,4095,1277898,955,3923,4095
101,3815,3591,4095,1277998,907,4057,4095
102,3823,3582,4095,1278098,907,4057,4095
103,3823,3594,4095,1278198,956,4072,4095
104,3819,3617,4095,1278399,923,4077,4095
105,3821,3591,4095,1278499,984,3896,4095
106,3816,3614,4095,1278599,911,3900,4095
107,3815,3609,4095,1278700,873,4059,4095
108,3815,3609,4095,1278899,947,3896,4095
109,3815,3611,4095,1278999,859,3896,4095
110,3808,3611,4095,1279099,943,3893,4095
111,3811,3607,4095,1279200,872,3963,4095
112,3808,3605,4095,1279299,872,3963,4095
