,heel1,ball11,ball12,time,heel2,ball21,ball22
0,3921,3261,4095,764054,3260,3903,4095
1,3914,3221,4095,764253,3469,4095,4095
2,3899,2933,4095,764355,3487,4095,4095
3,3976,3244,4095,764456,3499,4095,4095
4,4095,4095,4095,764556,2791,3447,4095
5,4095,4095,4095,764655,2791,3447,4095
6,4095,4095,4095,764856,1464,3472,4095
7,4095,4095,4095,764956,1464,3472,4095
8,4095,4095,4095,765056,1244,3423,4095
9,4089,4095,4095,765157,1244,3423,4095
10,3815,3196,4089,765358,1763,4095,4095
11,3752,3131,4091,765458,3287,2976,4095
12,3695,3113,4093,765559,3479,4095,4095
13,3709,3161,4095,765659,3635,4095,4095
14,3867,3195,4089,765759,3432,4095,4095
15,4089,4095,4095,765961,3309,4095,4095
16,3758,3813,3806,766061,2231,3422,4095
17,4095,4095,4095,766161,1901,3261,4095
18,4093,4095,4095,766260,1833,3305,4095
19,3744,3799,3801,766360,1774,3249,4095
20,3606,3081,4095,766560,2795,2709,4095
21,3387,3001,4085,766660,3232,3089,4095
22,3411,2995,4095,766760,3503,4095,4095
23,3509,2974,4095,766961,3532,4095,4095
24,3955,3087,4067,767062,3493,4095,4095
25,4095,4095,4095,767162,3408,4095,4095
26,4090,4095,4095,767261,2953,4095,4095
27,4079,4095,3883,767463,1505,3176,4095
28,4089,4095,4095,767563,1447,3285,4095
29,4083,4095,4095,767663,1339,3093,4095
30,3708,3226,4095,767764,3280,3811,4095
31,3541,3103,4079,767963,3280,3811,4095
32,3555,3093,4076,768063,3508,4095,4095
33,3639,3048,4069,768163,3511,4095,4095
34,4040,4095,4095,768264,3277,3549,4095
35,4087,4095,4095,768464,3277,3549,4095
36,4087,4095,4095,768564,3227,2997,4095
37,4087,4095,4095,768665,2985,3244,4095
38,4059,4095,4095,768765,2844,3274,4095
39,3790,3211,4095,768966,2833,3162,4095
40,3527,3067,4095,769066,3400,3164,4095
41,3511,3033,4095,769165,3627,4095,4095
42,3527,3026,4095,769265,3515,4095,4095
43,3641,2975,4095,769465,3515,4095,4095
44,4055,4095,4095,769566,2275,4095,4095
45,4091,4095,4095,769667,2275,4095,4095
46,4071,4095,4095,769767,760,3498,4095
47,4087,4095,4095,769968,760,3498,4095
48,4080,4095,4095,770068,656,3405,4095
49,3630,3429,4095,770167,656,3405,4095
50,3630,3181,4095,770268,795,3048,4095
51,3492,3081,4095,770469,3228,2844,4095
52,3515,3089,4095,770569,3573,4095,4095
