,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,4095,4095,730910,3290,4095,4095
1,4095,4095,4095,731111,1039,3432,4095
2,4095,4095,4095,731212,1039,3432,4095
3,4095,4095,4095,731311,1009,3349,4095
4,3832,3574,4095,731411,1009,3349,4095
5,3447,3030,4095,731612,1560,2988,4095
6,3475,3043,4095,731713,3180,3059,4095
7,3540,3091,4095,731812,3541,4095,4095
8,3625,3123,4095,731912,3541,4095,4095
9,4095,4095,4095,732112,3499,4095,4095
10,4095,4095,4095,732213,3271,3241,4095
11,4095,4095,4095,732312,3033,3117,4095
12,4095,4095,4095,732413,3061,3141,4095
13,4095,3739,4095,732612,3115,3032,4095
14,3840,3115,4095,732712,3115,3032,4095
15,3707,3028,4095,732812,3611,4095,4095
16,3839,3035,4095,732913,3611,4095,4095
17,4094,3685,4095,733112,3444,4095,4095
18,4095,4095,4095,733213,3444,4095,4095
19,4095,4095,4095,733312,3145,4095,4095
20,4095,4095,4095,733412,2128,3023,4095
21,4095,4095,4095,733614,1849,3315,4095
22,4095,4095,4095,733715,1737,3151,4095
23,3816,3166,4095,733814,2315,2994,4095
24,3593,3093,4095,733914,3195,3115,4095
25,3519,3077,4095,734115,3491,4095,4095
26,3537,3023,4095,734214,3481,4095,4095
27,3993,3674,4095,734315,3361,4095,4095
28,4095,4095,4095,734414,3361,4095,4095
29,4095,4095,4095,734614,3240,3057,4095
30,4095,4095,4095,734714,3240,3057,4095
31,4095,4095,4095,734815,3320,3027,4095
32,4095,4095,4095,734914,3320,3027,4095
33,3493,3081,3809,735115,3315,2520,4095
34,3413,3130,4095,735216,3516,4095,4095
35,3412,3115,4095,735316,3532,4095,4095
36,3450,3155,4095,735415,3446,4095,4095
37,3964,3101,4095,735516,3540,4095,4095
38,4095,4095,4095,735717,1636,3545,4095
39,4095,4095,4095,735817,1149,3452,4095
40,4095,4095,4095,735918,1149,3452,4095
41,4095,4095,4095,736018,1319,3331,4095
42,3643,3167,4095,736218,1319,3331,4095
43,3520,3066,4095,736319,3539,4095,4095
44,3578,3097,4095,736418,3539,4095,4095
45,3595,3115,4095,736519,3515,4095,4095
46,4095,4095,4095,736720,3488,4095,4095
47,4095,4095,4095,736820,2311,4095,4095
48,4095,4095,4095,736919,1752,3323,4095
49,4095,4095,4095,737119,1531,4095,4095
50,4095,4095,4095,737219,1485,3463,4095
51,3828,3432,4095,737319,1576,3243,4095
52,3425,3093,4095,737520,3241,2699,4095
53,3498,3116,4095,737620,3492,4095,4095
54,3483,3116,4095,737721,3492,4095,4095
55,3517,3045,4095,737821,3510,4095,4095
56,4095,4095,4095,738020,3464,4095,4095
