,heel1,ball11,ball12,time,heel2,ball21,ball22
0,4095,3220,4095,429598,3336,4095,4095
1,4095,4095,4095,429698,3397,4095,4095
2,4095,4095,4095,429798,1573,4095,4095
3,4095,4095,4095,429998,1003,3488,4095
4,4095,4095,4095,430098,1003,3488,4095
5,4095,4095,4095,430199,1146,3297,4095
6,4095,4095,4095,430299,1146,3297,4095
7,3754,3406,4095,430499,3090,2707,4095
8,3423,3256,4095,430599,3083,2993,4095
9,2862,2683,3770,430799,3397,4095,4095
10,3353,3135,4095,430900,3384,4095,4095
11,2962,2583,3730,430999,3427,4095,4095
12,3855,3109,4095,431100,3400,4095,4095
13,4095,4095,4095,431300,2208,4095,4095
14,4095,4095,4095,431399,1291,3726,4095
15,4095,4095,4095,431500,1028,3717,4095
16,4095,4095,4095,431700,1104,3173,4095
17,3912,4095,4095,431799,2592,2357,4095
18,3677,3342,4095,431900,3375,4095,4095
19,3567,3141,4095,432099,3375,4095,4095
20,3637,3091,4095,432199,3373,4095,4095
21,3788,3079,4095,432299,3373,4095,4095
22,4095,3576,4095,432400,3419,4095,4095
23,4095,4095,4095,432599,3419,4095,4095
24,4095,4095,4095,433100,1879,2743,4095
25,3625,3403,4095,433201,3104,2533,4095
26,3435,3261,4095,433300,3156,2872,4095
27,3480,3163,4095,433501,3380,4095,4095
28,3639,3109,4095,433601,3380,4095,4095
29,4022,3346,4095,433701,3369,4095,4095
30,4095,4095,4095,433801,3369,4095,4095
31,4095,4095,4095,434001,736,3640,4095
32,4095,4095,4095,434101,622,3340,4095
33,4095,4095,4095,434202,693,3243,4095
34,4095,4095,4095,434302,1112,3005,4095
35,3355,3256,4095,434502,3187,2643,4095
36,3403,3195,4095,434603,3245,4095,4095
37,3435,3161,4095,434702,3533,4095,4095
38,3635,3089,4095,434903,3419,4095,4095
39,3839,3155,4095,435003,3404,4095,4095
40,4071,4091,4095,435104,3404,4095,4095
41,4095,4095,4095,435204,3451,4095,4095
42,4095,4095,4095,435304,3451,4095,4095
43,4095,4095,4095,435503,1049,3671,4095
44,4095,4095,4095,435603,855,3517,4095
45,4095,4095,4095,435703,937,3438,4095
46,4095,4092,4095,435904,1130,3185,4095
47,3787,3503,4095,436004,1816,2820,4095
48,3090,2742,3771,436105,3163,2490,4095
49,3405,3175,4095,436206,3111,3575,4095
50,3477,3135,4095,436406,3296,4095,4095
51,3653,3053,4095,436506,3433,4095,4095
52,4095,4095,3982,436706,1496,4095,4095
53,4095,4095,4095,436806,1496,4095,4095
54,4095,4095,4095,436906,736,3230,4095
55,4095,4095,4095,437105,736,3230,4095
56,4095,4095,4095,437205,1768,2680,4095
57,4095,4095,4095,437306,1768,2680,4095
58,3900,4026,4095,437405,3092,2263,4095
59,3498,3225,4095,437605,3220,2381,4095
60,3248,3159,4095,437706,3143,3384,4095
61,3627,3103,4095,437806,3437,4095,4095
62,3833,3091,4095,437906,3406,4095,4095
63,4095,4095,4095,438106,3304,4095,4095
64,4095,3640,3771,438206,915,3386,4095
65,4095,4095,4095,438306,915,3386,4095
66,4095,4095,4095,438506,856,3155,4095
67,4095,4095,4095,438607,856,3155,4095
68,4095,4095,4095,438706,2385,2403,4095
69,3546,2967,4095,438907,3227,2385,4095
70,3532,3175,4095,439006,3308,4031,4095
71,3567,3157,4095,439106,3381,4095,4095
72,3412,3143,4095,439207,3392,4095,4095
73,4095,4095,4095,439407,3429,4095,4095
74,4095,4095,4095,439508,2960,4095,4095
75,4095,4095,4095,439608,1013,3727,4095
76,4095,4095,4095,439707,651,3412,4095
77,4095,4095,4095,439908,656,3256,4095
78,4095,4095,4095,440007,1477,2651,4095
79,3791,3690,4095,440107,1477,2651,4095
80,3562,3257,4095,440307,3179,3243,4095
81,3590,3183,4095,440407,3415,4095,4095
82,3661,3099,4095,440507,3415,4095,4095
83,3829,3109,4095,440607,3400,4095,4095
84,4095,4095,4095,440807,3333,4095,4095
85,4095,4095,4095,440908,1821,4095,4095
86,4095,3725,4095,441008,869,3483,4095
87,4095,4095,4095,441209,684,3337,4095
88,4095,4095,4095,441310,845,3169,4095
89,4095,4095,4095,441409,2520,2391,4095
90,3668,3403,4095,441509,3089,2345,4095
91,3704,3194,4095,441710,3363,4095,4095
92,3744,3150,4095,441811,3363,4095,4095
93,3865,3129,4095,441911,3339,4095,4095
94,4095,3833,4095,442112,3339,4095,4095
95,4095,4095,4095,442211,1424,4095,4095
96,4095,4095,4095,442312,763,3343,4095
97,4095,4095,4095,442511,736,3245,4095
98,4095,4095,4095,442612,800,3051,4095
99,4095,4095,4095,442713,1424,2860,4095
100,3487,3275,4095,442913,2632,2451,4095
101,3501,3195,4095,443012,3187,2723,4095
102,3613,3145,4095,443112,3391,4095,4095
103,4095,4095,4095,443314,3326,4095,4095
104,4095,4095,4095,443414,1229,3965,4095
105,4095,4095,4095,443514,1229,3965,4095
106,4095,4095,4095,443714,885,3321,4095
107,4095,4095,4095,443814,885,3321,4095
108,4095,3788,4095,443914,1760,2905,4095
109,3689,3525,4095,444114,1760,2905,4095
110,3404,3305,4095,444214,3176,2864,4095
111,3513,3245,4095,444414,3376,4095,4095
112,3696,3326,4095,444514,3418,4095,4095
113,3993,4080,4095,444615,3375,4095,4095
114,4095,4095,4095,444814,3338,4095,4095
115,4095,4095,3862,444915,1492,4095,4095
116,4095,4095,4095,445115,999,3241,4095
117,4095,4095,4095,445216,1301,2888,4095
118,4095,4095,4095,445316,1944,2615,4095
119,3589,3276,4095,445515,3139,2232,4095
120,3531,3167,4095,445615,3127,3013,4095
121,3555,3096,4095,445716,3389,4095,4095
122,3868,3129,4095,445916,3412,4095,4095
123,4095,4095,4095,446016,3325,4095,4095
124,4095,4095,4095,446116,3325,4095,4095
125,4095,4095,4095,446216,1005,3304,4095
126,4095,4095,4095,446417,809,3060,4095
127,4095,4095,4095,446516,948,3091,4095
128,4095,4095,4095,446617,1243,2976,4095
129,3673,3327,4095,446816,2089,2811,4095
130,3561,3211,4095,446916,3259,2603,4095
131,3580,3147,4095,447016,3267,3443,4095
132,3747,3047,4095,447217,3360,4095,4095
133,4031,3251,4095,447318,3360,4095,4095
134,4095,4095,4095,447518,1367,4095,4095
135,4095,4095,4095,447617,1367,4095,4095
136,3287,3497,4095,448119,2348,2252,4095
137,3353,3187,4095,448319,3243,2269,4095
138,3367,3161,4095,448420,3274,4095,4095
139,3679,3059,4095,448620,3440,4095,4095
140,4095,3833,4095,448720,3502,4095,4095
141,4095,4095,4095,448820,3469,4095,4095
142,4095,4095,4095,449020,781,3287,4095
143,4095,4095,4095,449121,817,3176,4095
144,4095,4095,4095,449320,928,3077,4095
145,4095,4095,4095,449421,1863,2681,4095
146,3672,3382,4095,449520,3156,2405,4095
147,3509,3085,3852,449721,3335,4095,4095
148,3487,3082,4095,449822,3335,4095,4095
149,3609,2991,4095,449922,3356,4095,4095
150,4095,4095,4095,450122,3407,4095,4095
151,4095,4095,4095,450224,1311,4095,4095
152,4095,4095,4095,450425,842,3517,4095
153,4095,4095,4095,450524,748,3292,4095
154,3413,3684,3827,450725,2991,2575,4095
155,3559,3300,4095,450825,2991,2575,4095
156,3555,3197,4095,450925,3432,4095,4095
157,3627,3087,4095,451129,3432,4095,4095
158,3886,3059,4095,451228,3357,4095,4095
159,4095,4084,4095,451329,3402,4095,4095
160,4095,4095,4095,451531,1519,4095,4095
161,4095,4095,4095,451630,711,3336,4095
162,4095,4095,4095,451831,659,3233,4095
163,4095,4095,4095,451930,1628,2819,4095
164,3549,2952,4095,452130,3160,2401,4095
165,3497,3183,4095,452231,3128,3089,4095
166,3534,3132,4095,452330,3303,4095,4095
167,3924,3219,4095,452531,3312,4095,4095
168,4095,4095,4095,452631,3370,4095,4095
169,4095,4095,4095,452732,1255,4095,4095
170,4095,4095,4095,452933,792,3281,4095
171,4095,4095,4095,453032,784,3163,4095
172,4095,4095,4095,453132,1243,2861,4095
173,3625,3747,4095,453332,2848,2405,4095
174,3413,3239,4095,453433,3129,2241,4095
175,3444,3160,4095,453532,3237,3307,4095
176,3142,2856,4095,453632,3429,4095,4095
177,4095,3885,4095,453832,3405,4095,4095
178,4095,4095,4095,453933,3333,4095,4095
179,4095,4095,4095,454032,951,4095,4095
180,4095,4095,4095,454232,777,3101,4095
181,4095,4095,4095,454332,777,3101,4095
182,4095,4095,4095,454433,1877,2659,4095
183,3597,3447,4095,454634,1877,2659,4095
184,3387,3191,4095,454733,3129,3113,4095
185,3349,3194,4095,454834,3348,4095,4095
186,3527,3229,4095,454933,3416,4095,4095
187,3500,2989,3751,455134,3296,4095,4095
188,4095,4095,4095,455235,3392,4095,4095
189,4095,4095,4095,455335,1707,4095,4095
190,4095,4095,4095,455535,1041,3707,4095
191,4095,4095,4095,455634,921,3501,4095
192,4095,4095,4095,455734,1230,2839,4095
193,4043,4095,4095,455934,2288,2365,4095
194,3615,3416,4095,456035,3184,2195,4095
195,3483,3151,4095,456135,3328,4095,4095
196,3555,3055,4095,456336,3328,4095,4095
197,3663,3037,4095,456436,3483,4095,4095
198,4095,4095,4095,456636,3352,4095,4095
199,4095,4095,4095,456736,3152,4095,4095
200,4095,4095,4095,456936,988,3523,4095
201,4095,4095,4095,457035,752,3441,4095
202,4095,4095,4095,457135,953,3129,4095
203,3862,4095,4095,457335,1943,2353,4095
204,3547,3348,4095,457436,3251,3335,4095
205,3479,3213,4095,457535,3251,3335,4095
206,3644,3100,4095,457735,3401,4095,4095
207,3895,3125,4095,457836,3401,4095,4095
208,4095,4095,4095,458036,3321,4095,4095
209,4095,4095,4095,458136,887,3455,4095
210,4095,4095,4095,458237,672,3315,4095
211,4095,3643,3856,458437,810,3149,4095
212,4087,4095,4095,458537,1377,2859,4095
213,3578,3365,4095,458638,2760,2405,4095
214,3477,3179,4095,458839,3104,2845,4095
215,3563,3126,4095,458939,3367,4095,4095
216,3379,2718,3756,459040,3353,4095,4095
217,4095,4095,4095,459239,2543,4095,4095
218,4095,4095,3896,459340,2543,4095,4095
219,4095,4095,4095,459540,697,3145,4095
220,4095,4095,4095,459740,2471,2605,4095
221,4095,4095,4095,459841,3152,2284,4095
222,3195,3341,4095,460040,3107,2837,4095
223,3343,3217,4095,460140,3437,4095,4095
224,3351,2650,3727,460340,3448,4095,4095
225,4095,4095,4095,460540,3337,4095,4095
226,4095,4095,4095,460640,3231,4095,4095
227,4095,4095,4095,460740,906,3683,4095
228,4095,4095,4095,460941,1049,2997,4095
229,4095,4095,4095,461041,1049,2997,4095
230,3631,3579,4095,461241,3215,2283,4095
231,3443,3239,4095,461340,3215,2283,4095
232,3397,3165,4095,461441,3437,4095,4095
233,3423,3161,4095,461541,3437,4095,4095
234,3869,3091,4095,461742,3413,4095,4095
235,4095,4095,4095,461842,3380,4095,4095
236,4095,4095,4095,461941,905,3793,4095
237,4095,4095,4095,462143,680,3355,4095
238,4095,4095,4095,462243,721,3146,4095
239,4095,4095,4095,462445,1376,2793,4095
240,3619,3491,4095,462544,2853,2259,4095
241,3420,3227,4095,462644,3213,2082,4095
242,3005,2764,3824,462745,3221,3292,4095
243,3599,3175,4095,462946,3324,4095,4095
244,3960,3371,4095,463047,3353,4095,4095
245,4095,4095,4095,463147,3376,4095,4095
246,4095,4095,4095,463346,1056,3833,4095
247,4095,4095,4095,463447,785,3128,4095
248,4047,4095,4095,463547,785,3128,4095
249,4095,4095,4095,463646,1097,2961,4095
250,3635,3945,4095,463848,1934,2505,4095
251,3439,3283,4095,463947,3179,2768,4095
252,3400,2867,4095,464148,3296,4095,4095
253,3533,3119,4095,464247,3422,4095,4095
254,4095,4095,4095,464448,3340,4095,4095
255,4095,4095,4095,464548,1099,4053,4095
256,4095,4095,4095,464748,855,3377,4095
257,4095,4095,4095,465047,2848,2253,4095
258,3563,3463,4095,465147,3195,3639,4095
259,3336,3150,4095,465348,3195,3639,4095
260,3415,3151,4095,465449,3260,4095,4095
261,3596,3129,4095,465549,3260,4095,4095
262,4095,4095,4095,465749,3295,4095,4095
263,4095,4095,4095,465948,1304,4095,4095
264,4095,4095,4095,466048,765,3575,4095
265,4095,4095,4095,466149,735,3357,4095
266,4095,4095,4095,466349,817,3117,4095
267,3933,4095,4095,466450,1319,3023,4095
268,3535,3352,4095,466549,2699,2492,4095
269,3531,3103,4095,466750,3276,4003,4095
270,3629,3083,4095,466850,3353,4095,4095
271,4095,3445,4095,467052,3340,4095,4095
272,4095,4095,4095,467152,3340,4095,4095
273,4095,4095,4095,467251,893,3572,4095
274,4095,4095,4095,467451,668,3325,4095
275,4095,4095,4095,467552,827,3175,4095
276,3732,3627,4095,467751,2816,2296,4095
277,3621,3270,4095,467852,2816,2296,4095
278,3503,3195,4095,467952,3328,4095,4095
279,3447,3197,4095,468051,3328,4095,4095
280,3653,3101,4095,468254,3427,4095,4095
281,4016,3561,4095,468353,3360,4095,4095
282,4095,4095,4095,468554,3142,4095,4095
283,4095,4095,4095,468654,1169,3623,4095
284,4095,4095,4095,468754,760,3361,4095
285,4095,4095,4095,468954,2008,2585,4095
286,4095,4095,4095,469053,2008,2585,4095
287,3555,3303,4095,469253,3240,2554,4095
288,3432,3215,4095,469353,3240,2554,4095
289,3465,3159,4095,469454,3368,4095,4095
290,3867,3271,4095,469653,3368,4095,4095
291,4095,4095,4095,469754,3434,4095,4095
292,4095,4095,4095,469854,2151,4095,4095
293,4095,4095,4095,470053,789,3497,4095
294,4095,4095,4095,470153,693,3301,4095
295,4095,4095,4095,470254,760,3092,4095
296,4095,4095,4095,470356,942,3081,4095
297,3661,3123,4095,470558,3243,2517,4095
298,3507,3291,4095,470657,3256,2859,4095
299,3439,3151,4095,470858,3334,4095,4095
300,3511,3113,4095,470958,3386,4095,4095
301,4088,4005,4095,471159,3391,4095,4095
302,4095,4095,4095,471258,2688,4095,4095
303,4095,4095,4095,471358,991,3536,4095
304,4095,4095,4095,471458,664,3453,4095
305,4095,4095,4095,471661,728,3237,4095
306,4095,4095,4095,471761,920,3041,4095
307,4095,4095,3983,471861,1489,2656,4095
308,3448,3213,4095,472061,3219,2848,4095
309,3485,2709,4095,472261,3328,4095,4095
310,3591,3134,4095,472360,3328,4095,4095
311,3727,3111,4095,472461,3407,4095,4095
312,4095,4095,4095,472662,3407,4095,4095
313,4095,4095,4095,472761,1360,4095,4095
314,4095,4095,4095,472861,1360,4095,4095
315,4095,4095,4095,472961,671,3413,4095
316,4095,4095,4095,473163,701,3369,4095
317,4095,4095,4095,473262,611,3153,4095
318,4095,4095,4095,473363,864,2986,4095
319,3689,3417,4095,473562,1581,2503,4095
320,3575,3194,4095,473662,3198,2763,4095
321,3520,3080,4095,473762,3152,3475,4095
322,3529,3047,4095,473963,3311,4095,4095
323,3547,3019,4095,474063,3352,4095,4095
324,3689,3019,4095,474162,3360,4095,4095
325,4095,3128,4095,474363,3360,4095,4095
326,4095,4095,4095,474462,3434,4095,4095
327,4095,4095,4095,474562,1066,3808,4095
328,4095,4095,4095,474663,613,3280,4095
329,4095,4095,4095,474762,613,3280,4095
330,4095,4095,4095,474962,587,3163,4095
331,4095,4095,4095,475063,563,3225,4095
332,3963,4095,4095,475163,737,2816,4095
333,3667,3429,4095,475262,1595,2523,4095
334,3495,3197,4095,475464,3184,2591,4095
335,3462,3149,4095,475564,3340,4095,4095
336,3528,3124,4095,475664,3411,4095,4095
337,4095,4095,4095,475864,3327,4095,4095
338,4095,4095,4095,475964,1048,3693,4095
339,4095,4095,4095,476163,1048,3693,4095
340,4095,4095,4095,476264,647,3181,4095
341,3846,3724,3913,476363,797,3013,4095
342,4095,4095,4095,476464,1357,2648,4095
343,3564,3627,4095,476663,2919,2409,4095
344,3415,3291,4095,476763,3273,2641,4095
345,3384,3247,4095,476863,3224,4095,4095
346,3135,2904,3859,477064,3386,4095,4095
347,3790,3608,4095,477164,3343,4095,4095
348,4095,4095,4095,477264,3328,4095,4095
349,3839,3758,3910,477464,972,3532,4095
350,4095,4095,4095,477563,893,3529,4095
351,4095,4095,4095,477663,1259,3115,4095
352,4095,4095,4095,477863,1259,3115,4095
353,3867,4095,4095,477964,2032,2651,4095
354,3535,3349,4095,478063,3148,2377,4095
355,3391,3129,4095,478266,3387,4095,4095
356,3508,3053,4095,478365,3363,4095,4095
357,4095,4095,4095,478566,3312,4095,4095
358,4095,4095,4095,478666,3328,4095,4095
359,4095,4095,4095,478765,1344,4095,4095
360,4095,4095,4095,478865,715,3456,4095
361,4095,4095,4095,479067,693,3124,4095
362,4095,4095,4095,479166,891,2936,4095
363,3943,4095,4095,479267,3204,2173,4095
364,3415,3175,4095,479467,3129,2776,4095
365,3501,3145,4095,479567,3291,4095,4095
366,3485,3119,4095,479668,3447,4095,4095
367,3661,3041,4095,479768,3341,4095,4095
368,4095,4095,4095,479968,3339,4095,4095
369,4095,4095,4095,480067,2017,4095,4095
370,4095,4095,4095,480168,615,3399,4095
371,4095,4095,4095,480368,768,3309,4095
372,4095,4095,4095,480468,1103,2967,4095
373,3479,3485,4095,480668,2551,2189,4095
374,3375,3227,4095,480769,3168,2301,4095
375,3037,2774,3848,480869,3232,4095,4095
376,3555,3130,4095,480968,3419,4095,4095
377,4095,4095,4095,481169,3419,4095,4095
378,4095,4095,4095,481268,3232,4095,4095
379,4095,4095,4095,481368,605,3555,4095
380,4095,4095,4095,481568,558,3320,4095
381,4095,4095,4095,481668,680,3053,4095
382,4095,4095,4095,481769,1357,2761,4095
383,3667,4095,4095,481868,2824,2201,4095
384,3359,3293,4095,482070,3262,2423,4095
385,3419,3257,4095,482169,3305,4095,4095
386,3535,3241,4095,482269,3323,4095,4095
387,3883,3439,4095,482369,3324,4095,4095
388,4095,4095,4095,482572,3351,4095,4095
389,3727,4095,4095,483172,1811,2544,4095
390,3496,3335,4095,483273,3152,2321,4095
391,3467,3191,4095,483372,3247,3371,4095
392,3613,3115,4095,483573,3426,4095,4095
393,3879,3209,4095,483672,3424,4095,4095
394,4095,4095,4095,483773,3434,4095,4095
395,4095,4095,4095,483973,1516,4095,4095
396,4095,4095,4095,484074,918,3543,4095
397,4095,4095,4095,484174,1096,3023,4095
398,4095,4095,4095,484374,1096,3023,4095
399,4095,4095,4095,484475,3184,2153,4095
400,3601,3912,3926,484575,3184,2153,4095
401,3376,3270,4095,484675,3310,3887,4095
402,3575,3113,4095,484878,3310,3887,4095
403,3743,3095,4095,484977,3312,4095,4095
404,4095,4095,4095,485177,3424,4095,4095
405,3855,3854,3911,485278,3312,4095,4095
406,4095,4095,4095,485378,1105,3893,4095
407,3859,3795,3926,485477,588,3419,4095
408,4095,4095,4095,485578,611,3198,4095
409,4095,4095,4095,485778,1013,2887,4095
410,4041,4095,4095,485879,1013,2887,4095
411,3611,3465,4095,485978,3181,2409,4095
